Geneid	A8_sensitive_sorted.bam	A9_sensitive_sorted.bam	A10_sensitive_sorted.bam	A11_sensitive_sorted.bam	A12_resistant_sorted.bam	A13_resistant_sorted.bam	A14_resistant_sorted.bam	A15_resistant_sorted.bam
transcript:EMLSAT00000003688	2	1	0	0	0	3	6	0
transcript:EMLSAT00000003700	988	745	884	762	1079	827	797	839
transcript:EMLSAT00000003702	3829	2388	4693	4676	4847	4632	3926	4637
transcript:EMLSAT00000003703	2960	1628	4058	4028	4165	4081	3431	4061
transcript:EMLSAT00000003704	1212	1439	1075	1118	1409	1172	850	1218
transcript:EMLSAT00000003706	45	15	60	50	70	75	87	90
transcript:EMLSAT00000003713	1602	1180	2206	1713	2324	1818	1727	1832
transcript:EMLSAT00000003719	3330	3541	2826	2666	2898	3091	2598	3201
transcript:EMLSAT00000003722	7	3	18	10	29	32	20	20
transcript:EMLSAT00000003727	3	2	0	0	0	5	1	5
transcript:EMLSAT00000003728	1118	540	1523	1354	1522	1567	1456	1340
transcript:ENSRNA022738538-T1	0	0	0	0	0	0	0	0
transcript:EMLSAT00000003729	0	0	0	0	0	0	0	0
transcript:EMLSAT00000003730	93	24	119	118	54	91	84	112
transcript:EMLSAT00000003684	398	429	213	365	160	23	97	530
transcript:EMLSAT00000003685	1107	723	1390	1482	1479	1509	1271	1449
transcript:EMLSAT00000003686	1141	997	1473	1179	1532	1435	1202	1365
transcript:EMLSAT00000003687	38	10	97	74	80	46	85	43
transcript:EMLSAT00000003689	865	541	594	692	738	660	495	616
transcript:EMLSAT00000003690	1549	1329	1538	1634	2339	1950	1746	1727
transcript:EMLSAT00000003691	0	0	0	0	0	0	0	0
transcript:EMLSAT00000003692	1831	1750	1995	1914	1911	2070	1724	1906
transcript:EMLSAT00000003693	4095	2032	7203	6221	7796	7800	6938	6706
transcript:EMLSAT00000003694	1355	1175	1713	1754	2061	1847	1531	1700
transcript:EMLSAT00000003695	598	712	443	611	379	650	499	520
transcript:EMLSAT00000003696	505	397	529	794	493	895	552	614
transcript:EMLSAT00000003697	2468	2089	3436	3128	2940	3830	3011	3041
transcript:EMLSAT00000003698	52	37	59	50	64	68	52	31
transcript:EMLSAT00000003699	210	257	288	241	343	264	252	335
transcript:EMLSAT00000003701	419	481	659	743	599	643	686	807
transcript:EMLSAT00000003705	23	36	35	69	52	59	92	52
transcript:EMLSAT00000003707	2892	2073	2866	2442	2984	2523	2413	2335
transcript:EMLSAT00000003708	1936	1837	2036	2056	2177	2360	2195	2215
transcript:EMLSAT00000003709	863	653	1104	1142	1409	1210	1083	1147
transcript:EMLSAT00000003710	6	0	10	14	21	20	4	16
transcript:EMLSAT00000003711	8	11	8	4	35	24	42	33
transcript:EMLSAT00000003712	0	0	0	0	0	0	0	0
transcript:EMLSAT00000003714	207	232	154	144	185	244	213	267
transcript:EMLSAT00000003715	3932	3458	4660	3884	4774	4652	3540	4071
transcript:EMLSAT00000003716	5	1	4	6	6	8	3	0
transcript:EMLSAT00000003731	213	254	118	174	169	185	56	215
transcript:EMLSAT00000003717	572	379	819	646	716	635	600	669
transcript:EMLSAT00000003718	1737	1524	1955	2388	1498	1970	1788	1975
transcript:EMLSAT00000003720	2616	2386	3012	2833	3191	3002	2479	2994
transcript:EMLSAT00000003721	1141	1162	1106	1147	1247	1026	1024	1081
transcript:EMLSAT00000003723	22	17	23	28	43	11	36	11
transcript:EMLSAT00000003724	5406	4015	6031	5066	6148	5174	4883	4941
transcript:EMLSAT00000003725	16	32	2	6	4	2	6	10
transcript:EMLSAT00000003726	4942	7008	6730	8325	7305	12739	11407	10006
transcript:EMLSAT00000000641	19	0	0	41	4	0	0	4
transcript:EMLSAT00000000642	96	89	50	71	51	59	37	82
transcript:EMLSAT00000000643	104	70	276	239	371	318	278	346
transcript:EMLSAT00000000644	0	0	0	2	0	0	0	0
transcript:EMLSAT00000000645	444	508	618	646	661	474	632	474
transcript:EMLSAT00000000646	54	24	22	11	44	40	66	63
transcript:EMLSAT00000000647	985	832	710	623	925	764	739	686
transcript:EMLSAT00000000648	626	715	823	769	667	1008	890	707
transcript:EMLSAT00000000649	1158	785	1442	1325	1244	1522	1058	1343
transcript:EMLSAT00000000650	1810	1193	2245	2178	2448	2186	1830	2150
transcript:EMLSAT00000000638	89	75	250	205	329	135	184	201
transcript:ENSRNA022738533-T1	0	0	0	2	0	0	4	0
transcript:EMLSAT00000000639	33284	29384	22793	17190	24427	15886	22370	17937
transcript:EMLSAT00000000640	1621	1365	1349	1058	1603	1217	1060	1170
transcript:EMLSAT00000000071	3470	2827	3173	3563	3032	2949	2704	2466
transcript:EMLSAT00000000074	473	387	530	511	539	472	477	400
transcript:EMLSAT00000000075	2425	2493	2580	2625	2521	2562	2227	2352
transcript:EMLSAT00000000076	1610	1523	1826	1846	1818	1912	1614	1742
transcript:EMLSAT00000000077	659	435	577	526	549	355	470	378
transcript:EMLSAT00000000078	221	123	498	467	607	576	643	625
transcript:EMLSAT00000000079	7	6	21	8	14	6	10	6
transcript:EMLSAT00000000080	41	33	45	45	86	65	68	91
transcript:EMLSAT00000000052	10857	8064	15225	10676	17720	11620	11315	11734
transcript:EMLSAT00000000053	707	706	716	649	828	697	576	692
transcript:EMLSAT00000000054	3288	2842	3309	3324	4315	3753	3190	3429
transcript:EMLSAT00000000055	705	505	650	549	590	584	519	597
transcript:EMLSAT00000000056	2992	2762	2873	2821	3163	2837	2413	2435
transcript:EMLSAT00000000057	1458	1325	1432	1066	1617	1116	1030	1091
transcript:EMLSAT00000000058	706	736	628	615	467	454	339	441
transcript:EMLSAT00000000059	1050	1124	949	862	1001	1050	854	1008
transcript:EMLSAT00000000060	1136	471	1337	1281	1718	1784	1458	1563
transcript:EMLSAT00000000061	564	383	655	535	633	485	449	466
transcript:EMLSAT00000000062	363	297	292	295	350	394	398	353
transcript:EMLSAT00000000063	710	483	1303	720	1427	1514	904	1248
transcript:EMLSAT00000000064	98	64	87	78	66	86	86	90
transcript:EMLSAT00000000065	2	4	2	0	6	2	2	4
transcript:EMLSAT00000000066	0	0	0	0	0	0	0	0
transcript:EMLSAT00000000067	0	0	0	0	0	0	0	0
transcript:EMLSAT00000000068	0	0	0	0	0	2	0	0
transcript:EMLSAT00000000069	282	162	346	331	480	338	335	356
transcript:EMLSAT00000000070	19	8	11	17	6	6	31	24
transcript:EMLSAT00000000072	3	1	3	5	0	0	0	5
transcript:EMLSAT00000000073	899	708	537	650	232	132	473	540
transcript:EMLSAT00000000001	6	1	11	2	5	0	14	7
transcript:EMLSAT00000000002	0	0	0	0	0	0	0	0
transcript:EMLSAT00000000003	0	0	0	0	2	8	0	4
transcript:EMLSAT00000000008	18	17	95	75	117	99	136	113
transcript:EMLSAT00000000010	1173	1030	1237	1299	1206	1122	1019	1124
transcript:EMLSAT00000000012	379	284	434	369	348	426	292	359
transcript:EMLSAT00000000004	31408	31109	30338	28316	29614	29334	26778	27285
transcript:EMLSAT00000000005	19419	19593	20521	19266	19359	19590	17176	17893
transcript:EMLSAT00000000006	2532	1954	3145	3227	2939	3196	3024	2874
transcript:EMLSAT00000000009	0	2	41	8	0	0	0	0
transcript:EMLSAT00000000011	63	17	184	126	277	215	187	185
transcript:EMLSAT00000000007	16655	14614	15717	15244	16187	16844	13232	16249
transcript:EMLSAT00000000015	241	270	237	200	316	215	305	398
transcript:EMLSAT00000000014	0	6	8	4	0	0	0	7
transcript:EMLSAT00000000016	37	14	11	20	35	42	26	32
transcript:EMLSAT00000000017	45	23	74	77	107	101	60	73
transcript:EMLSAT00000000018	0	0	0	0	0	0	0	0
transcript:EMLSAT00000000019	0	0	5	0	0	0	0	1
transcript:EMLSAT00000000020	0	0	0	0	0	0	0	0
transcript:EMLSAT00000000022	4	0	3	8	0	0	2	0
transcript:EMLSAT00000000021	0	0	0	0	1	0	4	6
transcript:EMLSAT00000000013	9	10	28	10	26	52	9	43
transcript:EMLSAT00000000023	61538	67558	40120	61891	22476	58382	53232	43814
transcript:EMLSAT00000000025	515	437	691	759	242	294	489	476
transcript:EMLSAT00000000024	2	5	15	1	6	3	4	7
transcript:EMLSAT00000000035	32	17	54	47	65	72	38	30
